,id,Room,Stay Time,Been Room5,Been Room6,Rooms Count,Been Room4,No Register,StageTime
0,10000,other,0.732,0,0,0.7529411764705882,0,0,0.0
1,10001,other,0.6,0,0,0.3555555555555556,0,0,0.0
2,10002,mainHall,0.616,0,0,0.8,0,0,0.0
3,10003,mainHall,0.672,0,0,0.611764705882353,0,0,0.0
4,10004,mainHall,0.5840000000000001,0,0,0.7058823529411765,0,0,0.0
5,10005,diningHall,0.16,0,0,0.23529411764705885,0,0,0.0
6,10012,mainHall,0.804,0,0,0.7529411764705882,0,0,0.0
7,10014,mainHall,0.732,0,0,0.7058823529411765,0,0,0.0
8,10015,mainHall,0.812,0,0,0.7058823529411765,0,0,0.0
9,10018,mainHall,0.66,0,0,0.7529411764705882,0,0,0.0
10,10019,room2,0.88,0,0,0.6588235294117647,0,1,0.0
11,10021,mainHall,0.812,0,0,0.8,0,0,0.0
12,10022,other,0.852,0,0,0.611764705882353,0,0,0.0
13,10023,hallC,0.436,0,0,0.4,0,0,0.0
14,10026,mainHall,0.748,0,0,0.676923076923077,0,0,0.0
15,10027,mainHall,0.672,0,0,0.7058823529411765,0,0,0.0
16,10032,other,0.5,0,0,0.4307692307692308,0,0,0.0
17,10033,hallC,0.436,0,0,0.3692307692307693,0,0,0.0
18,10037,room5,1.3559999999999999,1,0,0.4235294117647059,0,0,0.0
19,10041,room5,1.6960000000000002,1,0,0.4444444444444445,0,0,0.0
20,10043,other,0.05600000000000002,0,0,0.23529411764705885,0,0,0.0
21,10045,mainHall,0.728,0,0,0.6588235294117647,0,0,0.0
22,10046,room5,1.204,1,0,0.5176470588235295,0,0,0.0
23,10049,other,0.708,0,0,0.7529411764705882,0,0,0.0
24,10050,other,0.064,0,0,0.23529411764705885,0,0,0.0
25,10051,mainHall,0.6960000000000001,0,0,0.7058823529411765,0,0,0.0
26,10053,other,0.6679999999999999,0,0,0.5647058823529413,0,0,0.0
27,10056,mainHall,0.6759999999999999,0,0,0.611764705882353,0,0,0.0
28,10058,mainHall,0.792,0,0,0.6222222222222222,0,0,0.0
29,10060,exhibition,0.26,0,0,0.28235294117647064,0,0,0.0
30,10062,hallB,0.41600000000000004,0,0,0.4444444444444445,0,0,0.0
31,10068,exhibition,0.124,0,0,0.23529411764705885,0,0,0.0
