,mainHall,hallA,hallB,hallC,hallD,recreationArea,other,diningHall,out,exhibition
0,1082.0,0.0,270.0,2.0,0.0,0.0,110.0,0.0,50.0,15.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16.0,36.0,174.0,58.0,0.0,0.0,300.0,0.0,13.0,6.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,47.0,70.0,229.0,75.0,0.0,0.0,107.0,0.0,128.0,8.0
9,28.0,4.0,30.0,10.0,0.0,0.0,22.0,0.0,19.0,19.0
