,id,T,in,out,Room,Stay Time,Been Room5,Been Room6,Rooms Count,Been Room4
0,10000,69.51851851851852,32070,41455,mainHall,82,0,0,9,0
1,10002,75.408,32320,41746,other,84,0,0,8,0
2,10003,72.3169014084507,31450,41719,mainHall,106,0,0,8,0
3,10004,85.59633027522936,31550,40880,hallB,68,0,0,8,0
4,10012,114.82291666666669,31800,42823,exhibition,96,0,0,8,0
5,10014,81.94927536231884,31940,43249,mainHall,102,0,0,10,0
6,10015,52.42,31700,42184,mainHall,72,0,0,9,0
7,10021,54.582524271844655,31680,42924,mainHall,54,0,0,13,0
8,10022,75.009009009009,34580,42906,exhibition,48,0,0,9,0
9,10026,64.52564102564102,31500,41566,mainHall,83,0,0,11,0
10,10027,66.2215909090909,31640,43295,mainHall,110,0,0,9,0
11,10032,126.19354838709677,33200,41024,other,125,0,0,7,0
12,10033,185.3111111111111,32750,41089,hallC,109,0,0,6,0
13,10037,210.80851063829783,31780,41688,other,163,1,0,6,0
14,10041,198.23809523809524,32700,41026,room5,128,1,0,5,0
15,10045,77.6825396825397,31840,41628,mainHall,101,0,0,7,0
16,10046,228.8636363636364,30980,41050,other,165,1,0,5,0
17,10051,80.4662162162162,31160,43069,mainHall,109,0,0,9,0
18,10053,93.54237288135592,30610,41648,mainHall,89,0,0,9,0
19,10056,88.99230769230768,31480,43049,mainHall,137,0,0,6,0
20,10058,80.95522388059702,32260,43108,mainHall,93,0,0,9,0
21,10077,69.00552486187846,30830,43320,mainHall,86,0,0,10,0
22,10080,71.73214285714286,32390,40424,other,114,0,0,8,0
23,10084,51.511312217194565,31870,43254,mainHall,91,0,0,12,0
24,10085,43.01,31460,35761,other,34,0,0,7,0
25,10088,142.4259259259259,33380,41071,other,123,0,0,7,0
26,10090,185.65384615384616,31610,41264,other,159,1,0,7,0
27,10091,84.87692307692308,34150,39667,hallB,73,0,0,7,0
28,10093,94.86363636363636,32450,40798,hallC,99,0,0,8,0
29,10101,89.16964285714286,32130,42117,mainHall,125,0,0,6,0
30,10109,146.29166666666666,33750,40772,hallB,82,0,0,6,0
31,10111,61.20588235294117,40770,42851,other,30,0,0,5,0
32,10112,103.96153846153848,32730,40839,other,122,0,0,7,0
33,10115,51.07079646017699,31420,42962,mainHall,128,0,0,12,0
34,10117,62.17880794701986,32630,42019,mainHall,112,0,0,9,0
35,10121,144.33333333333334,31870,41396,room5,143,1,0,6,0
36,10123,53.50520833333334,30930,41203,mainHall,74,0,0,11,0
37,10127,60.88333333333333,32150,43109,mainHall,136,0,0,9,0
38,10134,96.3913043478261,32210,43295,mainHall,150,0,0,7,0
39,10135,111.55172413793105,34030,37265,hallC,47,0,0,4,0
40,10136,75.47133757961784,30960,42809,mainHall,93,0,0,9,0
41,10137,92.68333333333334,30610,41732,mainHall,86,0,0,9,0
42,10142,149.58823529411762,34120,41749,hallB,99,0,0,6,0
43,10143,85.02127659574468,35240,43232,mainHall,92,0,0,7,0
44,10145,46.58695652173913,38510,42796,mainHall,34,0,0,7,0
45,10146,78.89285714285714,30880,41925,mainHall,94,0,0,8,0
46,10150,56.6421052631579,32420,43182,mainHall,127,0,0,10,0
47,10151,85.5072463768116,32080,37980,mainHall,82,0,0,4,0
48,10152,102.57142857142857,32270,41604,mainHall,83,0,0,6,0
49,10155,130.56140350877192,34050,41492,hallB,63,0,0,8,0
50,10157,99.1375,33360,41291,hallB,93,0,0,8,0
51,10162,52.80568720379146,31940,43082,mainHall,86,0,0,12,0
52,10163,57.58823529411765,31430,43178,mainHall,89,0,0,11,0
53,10164,177.07291666666663,28060,45059,register,224,0,1,6,0
54,10170,74.5,32620,41560,mainHall,80,0,0,9,0
55,10171,103.375,32670,40940,hallB,103,0,0,8,0
56,10172,103.92307692307692,30610,42769,exhibition,115,0,0,8,0
57,10174,150.06,34060,41563,hallB,94,0,0,6,0
58,10175,81.61627906976744,32640,39659,hallC,81,0,0,8,0
59,10178,68.3859649122807,31260,42954,mainHall,109,0,0,10,0
60,10181,112.01075268817205,31190,41607,mainHall,88,0,0,8,0
61,10182,56.11594202898551,31550,43166,mainHall,86,0,0,12,0
62,10192,71.48717948717949,40020,42808,other,38,0,0,4,0
63,10193,89.35353535353535,31620,40466,hallB,63,0,0,7,0
64,10194,74.28169014084506,30830,41378,mainHall,86,0,0,10,0
65,10196,175.8762886597939,28010,45070,register,230,0,1,6,0
66,10202,70.19642857142857,33960,41822,hallA,96,0,0,7,0
67,10205,99.51851851851852,30950,41698,mainHall,91,0,0,8,0
68,10214,84.54347826086956,31380,43047,mainHall,138,0,0,5,1
69,10215,85.63414634146342,31620,42153,mainHall,90,0,0,9,0
70,10218,92.64516129032258,30870,42358,mainHall,94,0,0,8,0
71,10225,59.03773584905661,31400,37658,other,61,0,0,8,0
72,10228,142.28,33370,40484,hallB,88,0,0,6,0
73,10231,61.89156626506024,31780,42054,mainHall,79,0,0,11,0
74,10232,196.25531914893617,32450,41674,other,151,1,0,6,0
75,10233,59.422222222222224,40150,42824,other,42,0,0,5,0
