,mainHall,hallA,hallB,hallC,hallD,recreationArea,other,diningHall,out,exhibition
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,872.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
