,id,T,in,out,Room,Stay Time,Been Room5,Been Room6,Rooms Count,Been Room4
0,10001,144.22619047619048,50580,62695,other,150,0,0,8,0
1,10003,76.49056603773585,32640,44802,mainHall,158,0,0,8,0
2,10012,113.71774193548387,30230,44331,mainHall,201,0,0,7,0
3,10014,72.64150943396227,28930,44330,mainHall,183,0,0,12,0
4,10015,97.91916167664671,29850,62555,mainHall,203,0,0,14,0
5,10018,65.85148514851485,37950,44601,mainHall,80,0,0,8,0
6,10019,83.65394402035624,30230,63106,other,190,0,0,14,0
7,10021,104.24817518248176,30230,44512,mainHall,203,0,0,8,0
8,10022,90.6625,29850,44356,mainHall,168,0,0,10,0
9,10023,137.77777777777777,50470,62870,hallC,109,0,0,9,0
10,10026,67.19718309859155,30910,45223,mainHall,175,0,0,11,0
11,10027,80.32954545454545,30730,44868,mainHall,168,0,0,11,0
12,10037,226.7,32500,55170,other,186,1,0,8,0
13,10041,280.51,32030,60081,room5,412,1,0,10,0
14,10045,78.15476190476191,31420,44550,mainHall,182,0,0,8,0
15,10046,189.7417218543046,31010,59661,room5,301,1,0,11,0
16,10049,73.82442748091603,35030,44701,mainHall,117,0,0,8,0
17,10051,57.360594795539036,29750,45180,mainHall,174,0,0,11,0
18,10053,115.34523809523807,34890,44579,mainHall,125,0,0,5,0
19,10056,86.27096774193548,31100,44472,mainHall,162,0,0,8,0
20,10058,94.73607038123168,30690,62995,mainHall,198,0,0,14,0
21,10062,132.57731958762886,49880,62740,hallB,104,0,0,10,0
22,10070,33.12931034482759,35610,39453,other,42,0,0,7,0
23,10077,115.05633802816901,28780,45118,mainHall,198,0,0,8,0
24,10078,100.66666666666669,49550,63140,hallB,159,0,0,10,0
25,10080,129.48958333333334,50370,62801,other,149,0,0,7,0
26,10082,85.71084337349397,30190,44418,mainHall,194,0,0,9,0
27,10083,105.77037037037034,33570,62128,mainHall,135,0,0,14,0
28,10084,53.57835820895522,30140,44499,mainHall,170,0,0,13,0
29,10085,93.35562310030392,31710,62424,mainHall,168,0,0,13,0
30,10087,38.41538461538462,34830,39824,other,32,0,0,8,0
